customer_state,total_orders,avg_delay,delay_percentage
GO,1957,-12.19,6.54
MG,11352,-13.24,4.58
BA,3256,-10.79,12.16
SP,40489,-11.08,4.49
ES,1995,-10.50,10.73
RJ,12351,-11.77,12.10
RS,5342,-13.91,6.08
AL,397,-8.71,21.41
CE,1278,-10.80,13.77
PI,476,-11.31,13.87
MT,886,-14.36,5.98
MS,701,-11.05,9.70
SC,3547,-11.51,8.20
PR,4923,-13.31,4.04
DF,2080,-12.05,5.67
PA,946,-14.07,11.21
RO,243,-20.10,2.88
MA,716,-9.55,17.46
SE,335,-10.02,15.22
PE,1593,-13.29,9.60
AM,145,-19.57,2.76
RN,474,-13.65,9.28
AC,80,-20.73,3.75
PB,517,-13.26,10.44
RR,41,-17.29,12.20
AP,67,-19.69,2.99
TO,274,-12.13,9.85
